10.9.0.119 N; 2721533316818237/70368744177664,0/1,0/1; W; 6361138695748001/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.120 N; 2721533316818237/70368744177664,0/1,0/1; W; 99392782462265/1099511627776,0/1,0/1; 0; 604/1; 2
10.9.0.121 N; 2721533316818237/70368744177664,0/1,0/1; W; 6361137459421919/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.122 N; 2721533316818237/70368744177664,0/1,0/1; W; 3180568420629439/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.123 N; 2721533316818237/70368744177664,0/1,0/1; W; 1590284055773959/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.124 N; 2721533316818237/70368744177664,0/1,0/1; W; 1590283901233199/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.125 N; 2721533091187199/70368744177664,0/1,0/1; W; 6361138695747999/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.126 N; 2721533091187199/70368744177664,0/1,0/1; W; 6361138077584959/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.127 N; 2721533091187199/70368744177664,0/1,0/1; W; 3180568729710959/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.128 N; 2721533091187199/70368744177664,0/1,0/1; W; 1590284210314719/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.129 N; 2721533091187199/70368744177664,0/1,0/1; W; 1590284055773959/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.130 N; 2721533091187199/70368744177664,0/1,0/1; W; 6361135604932795/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.131 N; 5443065731112301/140737488355328,0/1,0/1; W; 3180569347873999/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.132 N; 5443065731112301/140737488355328,0/1,0/1; W; 3180569038792479/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.133 N; 5443065731112301/140737488355328,0/1,0/1; W; 1590284364855479/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.134 N; 5443065731112301/140737488355328,0/1,0/1; W; 6361136841258875/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.135 N; 5443065731112301/140737488355328,0/1,0/1; W; 6361136223095835/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.136 N; 5443065731112301/140737488355328,0/1,0/1; W; 6361135604932793/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.137 N; 5443065279850183/140737488355328,0/1,0/1; W; 3180569347873999/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.138 N; 5443065279850183/140737488355328,0/1,0/1; W; 1590284519396239/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.139 N; 5443065279850183/140737488355328,0/1,0/1; W; 6361137459421915/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.140 N; 5443065279850183/140737488355328,0/1,0/1; W; 3180568420629437/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.141 N; 5443065279850183/140737488355328,0/1,0/1; W; 6361136223095833/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.142 N; 5443065279850183/140737488355328,0/1,0/1; W; 795141950616599/8796093022208,0/1,0/1; 0; 604/1; 2
10.9.0.143 N; 2721532414294023/70368744177664,0/1,0/1; W; 1590284673936999/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.144 N; 2721532414294023/70368744177664,0/1,0/1; W; 6361138077584955/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.145 N; 2721532414294023/70368744177664,0/1,0/1; W; 3180568729710957/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.146 N; 2721532414294023/70368744177664,0/1,0/1; W; 6361136841258873/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.147 N; 2721532414294023/70368744177664,0/1,0/1; W; 795142027886979/8796093022208,0/1,0/1; 0; 604/1; 2
10.9.0.148 N; 2721532414294023/70368744177664,0/1,0/1; W; 6361135604932791/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.149 N; 85047880895717/2199023255552,0/1,0/1; W; 6361138695747995/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.150 N; 85047880895717/2199023255552,0/1,0/1; W; 3180569038792477/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.151 N; 85047880895717/2199023255552,0/1,0/1; W; 6361137459421913/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.152 N; 85047880895717/2199023255552,0/1,0/1; W; 795142105157359/8796093022208,0/1,0/1; 0; 604/1; 2
10.9.0.153 N; 85047880895717/2199023255552,0/1,0/1; W; 6361136223095831/70368744177664,0/1,0/1; 0; 604/1; 2
